id,Nombre,Ciudad,Año,Kilometros,Combustible,Tipo_marchas,Mano,Consumo,Motor_CC,Potencia,Asientos,Descuento,Precio_cat
497,Mercedes-Benz M-Class ML 350 4Matic,E,2016,22769,Diesel,Automatic,First,0.0 kmpl,2987 CC,165 bhp,5.0,,5
498,Tata Indica V2 eLS,D,2017,100400,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5.0,,2
,Audi A6 2011-2015 2.0 TDI Technology,H,2015,31652,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,5
500,Hyundai Grand i10 Sportz,B,2016,10770,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,3
501,Tata Tigor 1.05 Revotorq XT,H,2018,28973,Diesel,Manual,First,24.7 kmpl,1047 CC,69 bhp,5.0,,3
502,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,H,2016,35659,Diesel,Automatic,First,15.97 kmpl,2993 CC,258 bhp,7.0,,5
503,Maruti Baleno Zeta 1.2,J,2016,21000,Petrol,Manual,,21.4 kmpl,1197 CC,83.1 bhp,5.0,,3
504,Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,B,2017,15000,Diesel,Automatic,First,13.0 kmpl,2987 CC,265 bhp,5.0,,5
505,Mahindra Xylo D2 Maxx,D,2016,150000,Diesel,Manual,First,14.95 kmpl,2489 CC,93.7 bhp,9.0,,3
506,Skoda Rapid 1.6 TDI Elegance,F,2013,71803,Diesel,Manual,First,20.5 kmpl,1598 CC,103.5 bhp,5.0,,3
507,Volkswagen Polo 1.2 MPI Highline,K,2015,46354,Petrol,Manual,Second,16.47 kmpl,1198 CC,74 bhp,5.0,,3
508,Maruti Ertiga ZDI,B,2016,33000,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7.0,12.74,4
509,Tata Indica V2 DLS TC,I,2008,133000,Diesel,Manual,First,16.8 kmpl,1405 CC,62 bhp,5.0,,1
510,Hyundai i20 1.2 Spotz,B,2017,3900,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,3
511,Maruti Baleno Delta,B,2016,12573,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,7.36,3
512,Jeep Compass 2.0 Sport,I,2017,27000,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5.0,18.45,5
513,Honda City 1.5 V AT Sunroof,I,2012,60000,Petrol,Automatic,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,3
514,Maruti Vitara Brezza ZDi Plus Dual Tone,H,2017,35981,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,11.29,4
515,Maruti Wagon R LXI Minor,G,2006,65000,Petrol,Manual,First,18.9 kmpl,1061 CC,67 bhp,5.0,,1
516,Maruti Alto LXi,I,2008,38000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,,1
517,Toyota Innova 2.5 G (Diesel) 8 Seater,F,2013,114708,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,8.0,,4
518,Maruti Swift Dzire VDI,B,2012,80753,Diesel,Manual,Second,23.4 kmpl,1248 CC,74 bhp,5.0,,3
519,Toyota Fortuner 3.0 Diesel,D,2011,190000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,,4
520,Mahindra XUV500 W10 AWD,C,2015,87900,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,,4
521,Honda City V MT,L,2011,46000,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,3
522,Land Rover Discovery Sport SD4 HSE Luxury,J,2016,70000,Diesel,Automatic,First,12.97 kmpl,2179 CC,187.7 bhp,5.0,,5
523,Maruti Vitara Brezza LDi Option,C,2017,38000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,,4
524,Volkswagen Vento Petrol Highline AT,D,2011,97320,Petrol,Automatic,First,14.4 kmpl,1598 CC,103.6 bhp,5.0,,3
525,Maruti Grand Vitara 2.4 MT,B,2017,25000,Petrol,Manual,First,10.4 kmpl,2393 CC,163.5 bhp,5.0,,4
526,Maruti Wagon R VXI BS IV,G,2013,62700,Petrol,Manual,Second,20.51 kmpl,998 CC,67.04 bhp,5.0,,2
527,Hyundai i10 Sportz,E,2013,32776,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,3
528,Hyundai i20 Sportz 1.2,H,2015,40901,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,3
529,Hyundai Verna 1.6 SX VTVT,B,2014,9000,Petrol,Manual,Second,17.01 kmpl,1591 CC,121.3 bhp,5.0,,3
530,Toyota Innova 2.5 VX (Diesel) 7 Seater,E,2015,67585,Diesel,Manual,First,,2494 CC,100.6 bhp,7.0,,4
531,Maruti Celerio VXI,G,2014,56000,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5.0,,2
532,Maruti Vitara Brezza ZDi Plus,H,2018,50075,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,11.12,4
533,Maruti Swift Lxi BSIII,C,2009,90456,Petrol,Manual,Second,16.1 kmpl,1298 CC,88.2 bhp,5.0,,2
534,Tata Manza Aura Quadrajet BS IV,G,2011,86500,Diesel,Manual,Second,21.12 kmpl,1248 CC,88.8 bhp,5.0,,1
535,Hyundai i20 1.2 Era,I,2015,,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,,3
536,Hyundai Grand i10 1.2 Kappa Asta,I,2019,1000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,7.39,3
537,Porsche Panamera Diesel,J,2013,48000,Diesel,Automatic,Second,17.85 kmpl,2967 CC,300 bhp,4.0,,5
538,Mahindra Scorpio 2009-2014 LX 2WD 7S,B,2014,84000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,7.0,,3
539,Toyota Fortuner 4x2 AT,J,2014,89540,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,,5
540,Maruti Omni 8 Seater BSIV,B,2011,39000,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5.0,,1
541,Toyota Innova Crysta 2.4 GX MT 8S,F,2017,52000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8.0,19.43,5
542,Nissan Micra Active XV S,J,2015,28500,Petrol,Manual,First,19.49 kmpl,1198 CC,67.04 bhp,5.0,,3
543,Audi Q5 2008-2012 3.0 TDI,D,2014,25000,Diesel,Automatic,First,12.19 kmpl,2967 CC,236 bhp,5.0,,5
544,Honda Amaze V Petrol,H,2016,40866,Petrol,Manual,First,19.5 kmpl,1199 CC,86.76 bhp,,8.16,3
545,BMW X6 xDrive30d,G,2013,45306,Diesel,Automatic,Second,11.2 kmpl,2993 CC,241 bhp,4.0,,5
546,Maruti Ertiga ZXI,K,2014,68000,Petrol,Manual,Second,16.02 kmpl,1373 CC,93.7 bhp,7.0,,3
547,,I,2016,18000,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,,3
548,Hyundai Creta 1.6 SX Option,H,2018,53322,Petrol,Manual,First,15.8 kmpl,1591 CC,121.3 bhp,5.0,16.06,4
549,Volkswagen Polo Diesel Comfortline 1.2L,F,2012,107023,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,3
550,Mercedes-Benz GLC 220d 4MATIC Style,E,2019,29311,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,5.0,64.57,5
551,Hyundai Grand i10 CRDi Magna,F,2014,79000,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,,3
552,Mercedes-Benz E-Class 2009-2013 E350 Petrol,B,2009,68001,Petrol,Automatic,Second,10.93 kmpl,3498 CC,272 bhp,5.0,,4
553,Volkswagen Polo Diesel Comfortline 1.2L,F,2011,75020,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,3
554,Mini Cooper S,C,2012,37000,Petrol,Automatic,Second,13.6 kmpl,1598 CC,181 bhp,4.0,,5
555,Skoda Yeti Ambition 4X2,F,2012,99754,Diesel,Manual,First,17.72 kmpl,1968 CC,108.49 bhp,5.0,,4
556,Hyundai Verna 1.6 SX CRDI (O) AT,E,2019,77240,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,4
557,Mercedes-Benz New C-Class C 200 CGI Avantgarde,B,2011,40000,Petrol,Automatic,Second,11.74 kmpl,1796 CC,186 bhp,5.0,,4
558,Toyota Innova 2.5 G4 Diesel 8-seater,F,2013,83165,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,,4
559,Hyundai i20 Sportz AT 1.4,K,2012,58000,Petrol,Automatic,Second,15.0 kmpl,1396 CC,98.6 bhp,5.0,,3
560,Renault Duster 110PS Diesel RxZ,I,2013,57000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,3
561,Hyundai Verna VTVT 1.6 AT SX Plus,B,2012,75059,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5.0,13.7,3
562,Maruti Swift Ldi BSIII,C,2009,80000,Diesel,Manual,Fourth & Above,17.8 kmpl,1248 CC,75 bhp,5.0,,1
563,Maruti Wagon R LXI BS IV,I,2014,40000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5.0,,2
564,Jeep Compass 2.0 Limited 4X4,B,2017,52000,Diesel,Manual,First,16.3 kmpl,1956 CC,170 bhp,5.0,24.26,5
565,Maruti Baleno Zeta 1.2,J,2018,22900,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,,3
566,Maruti Swift 1.3 LXI,C,2011,24255,Petrol,Manual,First,16.1 kmpl,,,,,2
567,Hyundai Grand i10 CRDi Sportz,E,2017,60993,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,,3
568,Maruti Ritz VDi,F,2013,85388,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,,3
569,Mercedes-Benz GLE 350d,E,2017,33552,Diesel,Automatic,First,11.57 kmpl,2987 CC,254.79 bhp,5.0,95.13,5
570,Chevrolet Beat LS,I,2013,25000,Petrol,,First,18.6 kmpl,1199 CC,79.4 bhp,5.0,,1
571,Ford Ecosport 1.5 DV5 MT Titanium Optional,J,2013,65000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,3
572,Hyundai Creta 1.6 VTVT S,C,2016,26000,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,,4
573,Maruti Alto K10 LXI,C,2012,100000,Petrol,Manual,First,20.92 kmpl,998 CC,,5.0,,1
574,Honda City i VTEC V,J,2016,17000,Petrol,Manual,Second,17.8 kmpl,1497 CC,117.3 bhp,5.0,,4
575,Toyota Fortuner 4x4 MT,F,2018,39927,Diesel,Manual,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,,5
576,Ford EcoSport 1.5 Ti VCT MT Titanium BE,B,2016,7000,Petrol,Manual,First,18.88 kmpl,1499 CC,110.4 bhp,5.0,,3
577,Hyundai Elantra CRDi SX,E,2019,41871,Diesel,Manual,First,22.7 kmpl,1582 CC,126.2 bhp,5.0,,5
578,BMW 3 Series Luxury Line,E,2017,34232,Diesel,Automatic,First,,1995 CC,190 bhp,5.0,55.07,5
579,BMW 3 Series 320d,D,2009,137000,Diesel,Automatic,Second,13.2 kmpl,1995 CC,170 bhp,5.0,,4
580,Honda CR-V 2.0L 2WD MT,J,2008,70000,Petrol,Manual,First,13.1 kmpl,1997 CC,141.1 bhp,5.0,,3
581,Maruti Ciaz AT ZXi,H,2015,50979,Petrol,Automatic,First,19.12 kmpl,1373 CC,91.1 bhp,5.0,,3
582,Toyota Fortuner 4x2 AT,B,2012,87000,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,,5
583,Ford Ecosport 1.0 Ecoboost Platinum Edition,,2017,15000,Petrol,Manual,First,18.88 kmpl,999 CC,123.24 bhp,5.0,,4
,Hyundai i20 Asta Option 1.2,,2017,19860,Petrol,Manual,,18.6 kmpl,1197 CC,81.83 bhp,5.0,,3
585,Audi A6 2011-2015 2.0 TDI Premium Plus,B,2012,62500,Diesel,Automatic,Second,17.68 kmpl,1968 CC,174.33 bhp,5.0,,5
586,Maruti Eeco 7 Seater Standard,C,2011,45000,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7.0,4.69,2
587,Mahindra XUV500 W8 2WD,E,2014,86091,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,4
588,Honda City 1.5 V MT,K,2009,71400,Petrol,Manual,Third,17.0 kmpl,1497 CC,118 bhp,5.0,,3
589,Maruti Swift Dzire AMT ZDI,E,2017,24852,Diesel,Automatic,First,26.59 kmpl,1248 CC,74 bhp,5.0,,4
590,Honda Jazz 1.5 V i DTEC,L,2016,35000,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5.0,,3
591,Skoda Superb Style 1.8 TSI AT,F,2017,26000,Petrol,Automatic,First,14.67 kmpl,1798 CC,177.46 bhp,5.0,33.58,5
592,Mercedes-Benz B Class B180,H,2014,41380,Petrol,Automatic,Second,14.8 kmpl,1595 CC,120.7 bhp,5.0,,4
593,BMW X1 sDrive 20d Exclusive,D,2012,115000,Diesel,Automatic,Third,15.06 kmpl,1995 CC,177 bhp,5.0,,4
594,Maruti Celerio VXI AT,C,2016,38009,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,,3
595,Maruti Ciaz 1.4 Alpha,H,2018,41283,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,4
596,Audi Q3 35 TDI Quattro Premium Plus,E,2016,86642,,Automatic,First,15.17 kmpl,1968 CC,181 bhp,5.0,43.65,5
597,Mercedes-Benz GLE 350d,E,2018,29277,Diesel,Automatic,First,11.57 kmpl,2987 CC,254.79 bhp,5.0,95.13,5
598,Ford Fiesta 1.4 Duratec ZXI,F,2006,69000,Petrol,Manual,First,16.6 kmpl,1388 CC,68 bhp,5.0,,1
599,Renault Duster 110PS Diesel RxL,G,2013,65000,Diesel,Manual,Second,19.01 kmpl,1461 CC,108.45 bhp,5.0,,3
600,Chevrolet Beat Diesel LT,D,2012,81000,Diesel,Manual,First,25.44 kmpl,936 CC,56.3 bhp,5.0,,2
601,Ford Endeavour 3.2 Titanium AT 4X4,J,2018,12000,Diesel,Automatic,First,10.91 kmpl,3198 CC,197 bhp,7.0,,5
602,Honda Accord 2.4 MT,E,2012,94989,Petrol,Manual,First,12.8 kmpl,2354 CC,177.6 bhp,5.0,,3
603,Toyota Fortuner 4x2 Manual,J,2014,107000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,,5
604,Maruti SX4 ZDI,,2014,58000,Diesel,Manual,First,21.79 kmpl,1248 CC,88.73 bhp,5.0,,3
605,Volkswagen Polo Diesel Trendline 1.2L,G,2012,65634,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,3
606,Volkswagen Polo Diesel Highline 1.2L,F,2012,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,3
607,Honda Brio VX AT,C,2016,32000,Petrol,Automatic,First,16.5 kmpl,1198 CC,86.8 bhp,5.0,,3
608,Honda City i DTec E,E,2016,24337,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,,4
609,Tata Indica V2 eLS,D,2016,178000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5.0,,2
610,Nissan Micra Diesel XV,F,2011,86732,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,3
611,Hyundai Grand i10 1.2 Kappa Sportz,G,2018,10000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,6.96,3
612,Mahindra XUV500 W10 2WD,E,2017,57847,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,,5
613,Hyundai Santro Xing GL Plus,L,2014,41125,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,,2
614,Hyundai i10 Magna 1.2,E,2013,36264,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,3
615,Hyundai Getz GLE,K,2006,44000,Petrol,Manual,Second,15.3 kmpl,1341 CC,83 bhp,5.0,,1
616,Volkswagen Vento Diesel Highline,K,2012,65000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,,3
617,Ford EcoSport 1.5 TDCi Trend Plus,D,2016,20000,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,5.0,,4
618,Ford Ecosport 1.5 DV5 MT Titanium,H,2015,80064,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,4
619,Honda City 1.5 S MT,J,2011,68000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,3
620,Skoda Laura Ambiente,F,2008,113000,Diesel,Manual,First,17.5 kmpl,1896 CC,106 bhp,5.0,,3
621,Hyundai Elite i20 Petrol Sportz,J,2016,13460,Petrol,Manual,First,18.6 kmpl,1197 CC,81.86 bhp,5.0,,3
622,Mercedes-Benz E-Class 250 D W 210,B,1998,55300,Diesel,Automatic,First,10.0 kmpl,1796 CC,157.7 bhp,5.0,,3
623,Maruti Swift VDI BSIV,G,,64424,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,,3
624,Hyundai Xcent 1.2 Kappa AT SX Option,D,2015,59800,Petrol,Automatic,First,16.9 kmpl,1197 CC,82 bhp,5.0,,3
625,Maruti Ritz VDi,C,2013,20248,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,,3
626,Ford Ecosport 1.5 Ti VCT MT Titanium,E,2015,28232,Petrol,Manual,Second,15.8 kmpl,1499 CC,110 bhp,5.0,,4
627,Maruti Baleno Alpha 1.3,J,2016,46000,Diesel,,First,27.39 kmpl,1248 CC,74 bhp,5.0,,3
628,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,J,2014,85000,Diesel,Automatic,First,11.3 kmpl,2987 CC,254.8 bhp,7.0,,5
629,Skoda Laura Elegance 2.0 TDI CR AT,C,2010,,Diesel,Automatic,First,20.0 kmpl,1968 CC,138.1 bhp,5.0,,3
630,Maruti Swift VDI BSIV,C,2013,37000,Diesel,Manual,First,17.8 kmpl,1248 CC,,5.0,,3
631,Hyundai EON D Lite Plus,F,2013,84600,Petrol,Manual,Second,21.1 kmpl,814 CC,55.2 bhp,5.0,,2
632,Honda City 1.5 S MT,G,2011,55000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,3
633,Nissan Micra XV CVT,B,2015,34895,Petrol,Automatic,First,19.15 kmpl,1198 CC,75.94 bhp,5.0,9.47,3
634,Honda City i VTEC VX Option,I,2014,37000,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,,3
635,Nissan Terrano XL Plus 85 PS,I,2014,40000,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,,3
636,Mercedes-Benz E-Class 200 Kompressor Elegance,B,2004,85000,Petrol,Automatic,Second,10.5 kmpl,1796 CC,157.7 bhp,5.0,,3
637,Mahindra Verito 1.5 D6 BSIV,D,2011,110000,Diesel,Manual,Second,21.0 kmpl,1461 CC,64.1 bhp,5.0,,2
638,Hyundai Creta 1.6 CRDi SX,B,2017,27000,Diesel,,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,4
639,BMW 3 Series 320d,B,2011,51000,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,47.87,4
640,Honda City i VTEC CVT SV,H,2017,39430,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,,4
641,Maruti Ignis 1.2 Alpha,B,2017,7000,Petrol,Manual,First,,1197 CC,81.80 bhp,5.0,7.87,3
642,Hyundai Verna 1.6 SX VTVT,F,2014,67000,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5.0,,3
643,Maruti Ciaz AT ZXi,E,2017,51210,Petrol,Automatic,First,19.12 kmpl,1373 CC,91.1 bhp,5.0,,4
644,Audi Q7 4.2 TDI Quattro Technology,J,,73000,Diesel,Automatic,First,11.33 kmpl,4134 CC,335.2 bhp,7.0,,5
645,Ford Ecosport 1.5 DV5 MT Titanium Optional,F,2015,45000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,4
646,Maruti Ciaz 1.3 S,K,2016,23988,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,,4
647,Ford Figo Diesel EXI Option,D,2012,72500,Diesel,Manual,First,18.5 kmpl,1399 CC,68 bhp,5.0,,2
648,Maruti Swift Dzire VXI,K,,38623,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,,3
649,Ford Figo Petrol ZXI,B,2010,69009,Petrol,Manual,Second,15.6 kmpl,1196 CC,70 bhp,5.0,,2
650,Volkswagen Vento TSI,D,2014,28000,Petrol,Automatic,First,16.93 kmpl,1197 CC,103.6 bhp,5.0,,4
651,Toyota Corolla Altis 1.8 VL CVT,I,2018,5000,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,22.37,5
652,BMW X3 xDrive 20d Luxury Line,B,2018,1400,Diesel,Automatic,First,18.56 kmpl,1995 CC,190 bhp,5.0,70.55,5
653,Hyundai Verna 1.6 CRDi AT S,D,2016,33000,Diesel,Automatic,First,19.08 kmpl,1582 CC,126.2 bhp,5.0,,4
654,Mercedes-Benz New C-Class 220 CDI AT,G,2013,35299,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5.0,,5
655,Hyundai i20 Sportz 1.4 CRDi,C,2015,118211,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,,3
656,Honda CR-V 2.0 AT,H,2017,41697,Petrol,Automatic,First,13.1 kmpl,1997 CC,141.1 bhp,5.0,,5
657,Ford Ecosport 1.0 Ecoboost Titanium,H,2014,43316,Petrol,Manual,First,18.88 kmpl,999 CC,123.37 bhp,5.0,,3
658,Maruti Swift ZXI,I,2016,34000,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,,3
659,Volkswagen Polo Diesel Highline 1.2L,I,2010,90110,Diesel,,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,2
660,Renault Duster 110PS Diesel RxZ,E,2016,65257,Diesel,Manual,First,19.01 kmpl,1461 CC,,5.0,,4
661,Mahindra Scorpio 2009-2014 VLX 2WD 7S BSIV,G,2014,72618,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,7.0,,4
662,Hyundai EON Sportz,E,2016,14077,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,,,3
663,Hyundai Verna 1.6 CRDI,G,2011,72000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.3 bhp,5.0,,3
664,Maruti Esteem Vxi,J,2005,69496,Petrol,Manual,First,15.9 kmpl,1298 CC,,,,1
665,Honda City i VTEC SV,I,2014,49000,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,,3
,Honda CR-V 2.4 AT,F,2008,82167,Petrol,Automatic,First,10.1 kmpl,2354 CC,152 bhp,5.0,,3
667,Honda City i-VTEC CVT VX,B,2015,19000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,15.29,4
668,Hyundai Verna 1.6 CRDi SX,L,2015,60000,Diesel,Manual,First,23.9 kmpl,1582 CC,126.2 bhp,5.0,,3
669,Hyundai i10 Sportz,C,2014,90000,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2
670,Mercedes-Benz New C-Class C250 Avantgarde,I,2010,30500,Petrol,,First,11.74 kmpl,1796 CC,186 bhp,5.0,,4
671,Honda Amaze VX i-DTEC,D,2016,15388,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,4
672,Volkswagen Vento Diesel Trendline,D,,130000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,,3
673,Maruti SX4 Vxi BSIV,J,2011,52000,Petrol,Manual,First,15.5 kmpl,1586 CC,103.3 bhp,5.0,,2
674,Hyundai Santro GLS II - Euro II,C,2009,100000,Petrol,Manual,First,0.0 kmpl,,,,,1
675,Hyundai i20 Sportz Option,B,2014,17858,Petrol,Manual,First,17.0 kmpl,,80 bhp,5.0,,3
676,Maruti Swift 1.3 ZXI,F,2015,50295,Petrol,Manual,First,16.1 kmpl,,,,,3
677,Mercedes-Benz E-Class 220 CDI,C,2001,121000,Diesel,Manual,First,15.0 kmpl,2148 CC,,5.0,,3
678,Audi A3 35 TDI Attraction,D,2014,79271,Diesel,Automatic,First,20.38 kmpl,1968 CC,143 bhp,,,5
679,Maruti Swift Dzire ZDi,J,2012,71082,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,,3
680,Maruti Swift Dzire Tour LDI,I,2016,100000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,,3
681,Hyundai i10 Magna 1.1,H,2014,58472,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,,3
682,Nissan Sunny 2011-2014 Diesel XL,C,2014,95000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5.0,,3
683,Honda Accord V6 AT,D,2006,120000,Petrol,Automatic,Second,9.0 kmpl,2997 CC,218 bhp,5.0,,2
684,Hyundai Verna 1.6 SX,L,2014,63003,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,3
685,Renault Duster 110PS Diesel RxZ Pack,C,2014,90000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,4
686,Ford Ecosport 1.5 DV5 MT Titanium Optional,C,2015,55000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,4
687,Maruti Vitara Brezza LDi,H,2017,35384,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,9.12,4
688,Mahindra KUV 100 G80 K8 Dual Tone,J,2018,42000,Petrol,Manual,First,,1198 CC,82 bhp,6.0,7.96,3
689,Maruti Swift LXI,I,2013,60000,Petrol,Manual,First,18.6 kmpl,1197 CC,85.8 bhp,5.0,,2
690,Toyota Etios VX,I,2012,55000,Petrol,Manual,First,17.6 kmpl,1496 CC,88.7 bhp,5.0,,2
691,Hyundai Verna SX CRDi AT,C,2012,83000,Diesel,Automatic,First,19.08 kmpl,1582 CC,126.32 bhp,5.0,,3
692,Renault Pulse Petrol RxZ,E,2014,31897,Petrol,Manual,First,18.06 kmpl,1198 CC,74.96 bhp,5.0,,3
693,Honda Brio V MT,C,2012,65167,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,3
694,Maruti Baleno Alpha CVT,B,2018,3000,Petrol,Automatic,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,10.3,4
695,Maruti Ritz VDi,F,2012,146824,Diesel,Manual,First,21.1 kmpl,1248 CC,,5.0,,3
696,Hyundai i20 Asta Optional with Sunroof 1.2,H,2013,62132,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5.0,,3
697,Hyundai EON LPG Era Plus Option,F,2012,75000,LPG,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,2
698,Maruti Swift Dzire VDI,G,2015,60000,Diesel,,First,26.59 kmpl,1248 CC,74 bhp,5.0,,3
699,Audi A6 2011-2015 35 TDI Technology,F,2015,50000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,5
